familymebers,location,infection,impact,familyreunion,familyrelationship,post,search,optimism,mediatime1,mediatime2,mediatime3,mediatime4,mediatime5,mediatimetotal,mediacontent1,mediacontent2,mediacontent3,mediacontent4,mediacontent5,mediacontent6,panas1,panas2,panas3,panas4,panas5,panas6,panas7,panas8,panas9,panas10,panas11,panas12,panas13,panas14,panas15,panas16,panas17,panas18,panas19,panas20,deathanxiety1,deathanxiety2,deathanxiety3,deathanxiety4,meaninginlife1,meaninginlife2,meaninginlife3,meaninginlife4,empathy1,empathy2,sympathy1,sympathy2,dass1,dass2,dass3,dass4,dass5,dass6,dass7,dass8,dass9,dass10,dass11,dass12,dass13,dass14,dass15,dass16,dass17,dass18,dass19,dass20,dass21,PA,NA,DA,ML,DEP,ANX,STR,NEW,TRA,EMP,SYM
3,Tianjin,0,4,1,5,1,2,5,1,1,1,1,1,5,3,3,3,3,3,3,3,4,3,3,2,1,2,1,2,2,3,4,1,4,3,3,3,3,3,3,4,4,4,4,6,6,6,6,4,4,4,2,2,2,1,2,2,2,1,2,3,1,2,2,2,3,2,2,1,2,2,1,1,29.00,24.00,18.00,29.00,10.00,13.00,15.00,1.00,1.00,8.00,6.00
4,Gansu,0,4,1,4,1,4,4,0,1,11,12,12,36,5,5,5,5,3,3,4,3,3,2,3,1,2,1,3,2,1,3,1,2,3,4,4,2,3,3,3,4,4,3,7,7,6,7,4,4,5,5,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,31.00,19.00,18.00,32.00,7.00,7.00,9.00,9.00,0.00,8.00,10.00
3,Hunan,0,4,1,4,0,4,4,1,1,0,1,0,3,3,4,4,1,2,2,2,1,4,1,4,1,2,1,4,3,1,3,1,3,3,4,4,1,4,3,2,2,1,1,6,2,6,6,2,3,4,4,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,1,35.00,15.00,8.00,27.00,8.00,10.00,10.00,0.50,1.00,5.00,8.00
4,Shanxi,0,3,1,4,1,4,2,1,1,1,1,1,5,4,3,3,4,4,4,3,2,3,2,3,2,2,2,3,3,2,4,2,3,2,3,3,2,3,3,4,4,4,4,5,5,6,6,4,4,4,4,2,2,1,2,2,1,1,2,2,1,1,2,2,2,1,1,1,2,1,1,1,31.00,21.00,20.00,28.00,9.00,10.00,12.00,1.00,1.00,8.00,8.00
4,Shanxi,0,4,1,4,0,4,3,1,3,7,1,0,12,3,4,4,4,4,4,4,4,2,3,3,2,3,2,3,3,3,4,2,3,4,3,3,4,3,3,4,5,4,4,6,5,6,6,4,4,4,4,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,31.00,30.00,21.00,26.00,10.00,10.00,15.00,2.75,1.00,8.00,8.00
5,Tianjin,0,3,1,4,1,2,1,0,1,1,2,2,6,3,4,3,3,2,3,2,3,2,3,2,1,3,1,3,3,1,3,1,3,3,3,4,2,2,3,2,4,3,4,3,3,5,6,3,4,5,4,1,2,1,3,2,1,4,4,1,1,2,1,2,1,2,1,1,1,4,1,1,27.00,21.00,17.00,19.00,9.00,17.00,11.00,1.50,0.00,7.00,9.00
3,Shandong,0,3,1,4,0,2,1,0,1,1,3,0,5,3,4,3,2,2,1,2,2,3,2,2,1,4,1,2,1,1,3,1,1,3,4,2,1,1,3,2,2,4,2,6,7,7,2,4,2,4,4,2,3,1,2,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,21.00,19.00,14.00,28.00,9.00,12.00,9.00,1.25,0.00,6.00,8.00
4,Jiangsu,0,2,1,3,0,4,2,0,8,11,0,0,19,5,4,4,5,3,4,4,3,2,4,3,1,3,1,2,1,3,4,1,4,4,3,3,4,3,4,3,4,2,2,6,6,6,6,4,4,5,4,3,2,1,2,2,2,1,2,2,1,2,3,3,3,3,1,2,2,2,2,2,29.00,28.00,15.00,30.00,12.00,14.00,17.00,4.75,0.00,8.00,9.00
10,Shanxi,0,3,1,4,1,3,2,2,12,5,2,12,33,4,4,4,4,4,4,4,3,2,3,2,2,4,4,2,1,4,4,1,2,4,2,4,4,2,4,4,5,5,4,6,6,6,5,5,4,5,5,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,25.00,33.00,23.00,26.00,10.00,9.00,12.00,7.75,2.00,9.00,10.00
3,Shanxi,0,1,1,4,0,2,4,1,1,1,1,1,5,2,2,2,5,3,4,4,3,3,3,3,2,2,2,3,3,3,3,2,3,2,3,3,2,3,2,2,2,2,3,6,6,6,6,2,2,4,3,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,31.00,23.00,12.00,30.00,11.00,11.00,13.00,1.00,1.00,4.00,7.00
